ewas_beta,ewas_p,clpm_beta,clpm_p,converged,sign_opposite
-0.48567278262234,0.00139296885713102,0.316725699691832,1.13951958979897e-10,TRUE,TRUE
-0.431923450556174,0.000392864649613424,0.296751714647918,5.73502356715494e-10,TRUE,TRUE
-0.669348232109098,5.62858407985939e-08,0.370067047937631,2.66453525910038e-15,TRUE,TRUE
-0.573130740529586,0.000155445483624446,0.265566818140736,8.03927398207449e-07,TRUE,TRUE
-0.552976834322496,7.05035870065076e-05,0.28734247896806,1.52440260414721e-09,TRUE,TRUE
-0.472697235697387,0.000529494412296698,0.28671096600639,1.15964637892318e-09,TRUE,TRUE
-0.597223677175627,7.84074715107988e-06,0.284113851277537,9.78804437501424e-09,TRUE,TRUE
-0.496805656205671,7.32071044387968e-05,0.312869457271825,1.29751098754127e-10,TRUE,TRUE
-0.511167722182711,0.000297776989484312,0.318825732268646,4.69140282177705e-11,TRUE,TRUE
-0.848339482698924,1.19034654392966e-08,0.375394968318912,0,TRUE,TRUE
-0.323758929930522,0.00335332867821569,0.302617247790244,2.95941604555594e-08,TRUE,TRUE
-0.438850027777202,9.28306610455357e-05,0.306807706525413,7.80816271639395e-07,TRUE,TRUE
-0.33094308301201,0.012066270558378,0.192596039565951,0.00122594020190148,TRUE,TRUE
-0.678125793863261,1.47708066249832e-07,0.380728067472592,1.77635683940025e-15,TRUE,TRUE
-0.538841065373905,0.000336349454646247,0.27212091435561,6.05188470448326e-08,TRUE,TRUE
-0.516641211226374,0.000533942003563718,0.276252076958746,1.3682010258087e-07,TRUE,TRUE
-0.48488431254013,0.00128656836687801,0.240798344460915,2.92282348479667e-06,TRUE,TRUE
-0.450630939128434,0.00244654671276921,0.314542085215771,2.03152206168511e-09,TRUE,TRUE
-0.449943770833073,0.000214130763313373,0.30241188526961,3.57722460320176e-07,TRUE,TRUE
-0.456229751252374,0.000870544122749137,0.203774925654626,0.00222595222614386,TRUE,TRUE
